# Date	real
05/23/26	4.885
05/23/26	4.881
05/23/26	4.873
05/23/26	4.874
05/23/26	4.876
05/23/26	4.892
05/23/26	4.891
05/23/26	4.878
05/23/26	4.876
05/23/26	4.878
06/02/26	4.846
06/02/26	4.851
06/02/26	4.852
06/02/26	4.85
06/02/26	4.852
06/02/26	4.846
06/02/26	4.857
06/02/26	4.852
06/02/26	4.848
06/02/26	4.85
07/19/26	4.841
07/19/26	4.842
07/19/26	4.851
07/19/26	4.843
07/19/26	4.846
07/19/26	4.842
07/19/26	4.84
07/19/26	4.851
07/19/26	4.82
07/19/26	4.819
07/21/26	4.846
07/21/26	4.838
07/21/26	4.863
07/21/26	4.844
07/21/26	4.844
07/21/26	4.841
07/21/26	4.845
07/21/26	4.844
07/21/26	4.843
07/21/26	4.846
07/26/26	4.872
07/26/26	4.871
07/26/26	4.879
07/26/26	4.872
07/26/26	4.876
07/26/26	4.872
07/26/26	4.867
07/26/26	4.866
07/26/26	4.875
07/26/26	4.866
07/27/26	4.866
07/27/26	4.871
07/27/26	4.889
07/27/26	4.873
07/27/26	4.869
07/27/26	4.891
07/27/26	4.875
07/27/26	4.865
07/27/26	4.871
07/27/26	4.868
